"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" לא קיים כאפשרות בחירת כמות. %s פריט זה יהיה backordered."
"%s is available for purchase in increments of %s only."," ניתן לרכוש %s רק בעליה של  %s ."
"%s is not a correct comparsion method.","%s  היא לא שיטת השוואה תקינה."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>שים לב</strong>כי הגדרות אלה מתאימות רק לחלק מהפריטים בעגלת קניות, ולא עבור כל העגלה, ."
"Add Minimum Qty","הוסף ערך עבור כמות מינימלית"
"Allow Qty Below 0","אפשר כמות קטנה מ-0"
"Allow Qty Below 0 and Notify Customer","אפשר כמות קטנה מ-0 ועדכן לקוח"
"Automatically Return Credit Memo Item to Stock","החזר באופן אוטומטי פריט תזכיר אשראי למלאי"
"Backorders","Backorders"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"Cannot specify product identifier for the order item.","לא ניתן לבחור מזהה מוצר עבור פריט הזמנה"
"Catalog Inventory","מלאי קטלוג"
"Decrease Stock When Order is Placed","הקטן מלאי עם קבלת הזמנה"
"Enable Qty Increments","אפשר הגדלת ערך כמות"
"In Stock","במלאי"
"Index Product Stock Status","אינדקס סטאטוס מלאי מוצרים"
"Inventory","מלאי"
"Inventory API","ממשק ניהול מלאי"
"Inventory Section","איזור - מלאי"
"Manage Stock","ניהול מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בעגלת הקניות"
"Minimum Qty","כמות מינימלית"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בעגלת הקניות"
"No Backorders","אין הזמנות חוזרות"
"Not all products are available in the requested quantity","לא ניתן לבצע הזמנה של כל המוצרים בכמויות שנבחרו"
"Notify for Quantity Below","התרע לכמות מתחת"
"Only X left Threshold","כמות מינימלית להתראה"
"Out of Stock","אין במלאי"
"Product Stock Options","אפשרויות מלאי מוצרים"
"Qty Increments","הגדלת ערך כמויות"
"Qty for Items' Status to Become Out of Stock","כמות של מוצר בכדי שהסטאטוס שלו יהיה מחוץ למלאי"
"Retrieve stock data","אחזר מידע מלאי"
"Retrieve stock data by product ids","אחזר מידע מלאי לפי קוד מוצר"
"Rule price","מחיר חוק"
"Set Items' Status to be In Stock When Order is Cancelled","שנה סטאטוס מוצר ל 'במלאי' כאשר ההזמנה מבוטלת"
"Some of the products are currently out of stock","חלק מהמוצרים ללא מלאי"
"Some of the products cannot be ordered in requested quantity.","לא ניתן להזמין חלק מהמוצרים בכמויות שנדרשו"
"Some of the products cannot be ordered in the requested quantity.","לא ניתן להזמין חלק מהמוצרים בכמויות שנדרשו"
"Stock Options","אפשריות מלאי"
"Stock Status","סטאטוס מלאי"
"The maximum quantity allowed for purchase is %s.","הכמות המקסימלית של רכישות היא  %s "
"The minimum quantity allowed for purchase is %s.","הכמות המינימלית של רכישות היא  %s "
"The requested quantity for ""%s"" is not available.","הכמות המבוקשת ל ""%s"" אינה זמינה."
"The requested quantity is not available.","הכמות המבוקשת אינה זמינה"
"The stock item for Product in option is not valid.","פריט מלאי עבור אפשרות המוצר לא תקינה"
"The stock item for Product is not valid.","פריט מלאי עבור המוצר לא תקין."
"This product is available for purchase in increments of %s only.","ניתן לבצע רכישה רק בהעלאת ערך של %s לפחות."
"This product is currently out of stock.","המוצר לא במלאי כרגע"
"This product is not available in the requested quantity. %s of the items will be backordered.","לא ניתן לרכוש את המוצר בכמות שנבחרה. %s מהפריטים יעברו backorder."
"To Fixed Value","עד ערך"
"To Percentage","עד אחוז"
"Undefined product type.","סוג מוצר שנבחר לא מזוהה"
"Update","עדכן"
"Update product stock data","עדכן נתוני מלאי למוצר"
"Update the Product","עדכן מוצר"
"Display Out of Stock Products","הצג מוצרים שאין במלאי"