"A block identifier with the same properties already exists in the selected store.","מזהה בלוק עם בעל הגדרות זהות קיים כבר בחנות שנבחרה"
"A directory with the same name already exists. Please try another folder name.","סיפרייה בשם הנבחר קיימת כבר. אנא בחר שם תיקייה שונה."
"A page URL key for specified store already exists.","מפתח דף URL לחנות הנבחרת קיים כבר."
"Action","פעולה"
"Add New Block","בלוק חדש"
"Add New Page","הוסף דף חדש"
"All Countries","כל הארצות"
"An error occurred while saving the page.","ארעה שגיאה במהלך שמירת הדף"
"Anchor Custom Text","טקסט עוגן מותאם"
"Anchor Custom Title","כותרת עוגן מותאמת"
"Are you sure you want to delete current folder?","האם אתה בטוח שאתה רוצה למחוק את התיקייה הנבחרת?"
"Are you sure you want to delete the selected file?","האם אתה בטוח שאתה רוצה למחוק את הקובץ הנבחר?"
"Block","בלוק"
"Block Information","בלוק - מידע"
"Block Title","בלוק - כותרת"
"CMS","ניהול תוכן"
"CMS Content Wrapper","CMS Content Wrapper"
"CMS Home Page","מע' ניהול תוכן - עמוד הבית"
"CMS No Cookies Page","דך CMS ללא עוגיות"
"CMS No Route Page","דף CMS ללא נתיב"
"CMS No-Route Page","דף CMS ללא נתיב"
"CMS Page"," דף CMS"
"CMS Page Link","קישור דף CMS"
"CMS Page Link Block Template","תבנית בלוק קישור דף CMS"
"CMS Page Link Inline Template","תבנית פנימית של דף קישור CMS"
"CMS Pages (All)","כל דפי CMS"
"CMS Static Block","בלוק CMS סטאטי"
"CMS Static Block Default Template","תבנית ברירת מחדל של בלוק CMS סטאטי"
"Cannot create new directory.","לא ניתן ליצור סיפרייה חדשה"
"Cannot delete directory %s.","לא ניתן למחוק סיפרייה %s."
"Cannot delete root directory %s.","לא ניתן למחוק ספרייה ראשית %s."
"Cannot upload file.","לא ניתן להעלות קובץ."
"Collapse All","סגור הכל"
"Content","תוכן"
"Content Heading","כותרת תוכן"
"Content Management","ניהול תוכן"
"Contents of a Static Block","תוכן בלוק סטאטי"
"Create Folder...","צור קובץ..."
"Custom Design","עיצוב בהתאמה אישית"
"Custom Design From","טופס עיצוב מותאם"
"Custom Design To","עיצוב מותאם עבור"
"Custom Layout","פריסה מותאמת"
"Custom Layout Update XML","עדכון פריסת עיצוב XML מותאמת"
"Custom Theme","ערכת עיצוב מותאמת אישית"
"Customer Tax Class Information","לקוח - מידע מדרגת מס"
"Date Created","תאריך יצירה"
"Delete Block","מחק בלוק"
"Delete File","מחק קובץ"
"Delete Folder","מחק תיקייה"
"Delete Page","מחק עמוד"
"Description","תיאור"
"Design","עיצוב"
"Disabled","כבוי/לא פעיל"
"Disabled Completely","נטרל לחלוטין"
"Disabled by Default","נטרל לפי ברירת מחדל"
"Edit Block","ערוך בלוק"
"Edit Block '%s'","ערוך בלוק '%s'"
"Edit Page","ערוך עמוד/דף"
"Edit Page '%s'","ערוך עמוד/דף '%s'"
"Enable WYSIWYG Editor","אפשר עורך וויסוויג"
"Enabled","פעיל"
"Enabled by Default","אפשר לפי ברירת מחדל"
"Expand All","פתח הכל"
"General Information","מידע כללי"
"Go to Home Page","חזור לדף ראשי"
"Home","ראשי"
"ID","קוד/ת.ז/זיהוי"
"Identifier","מזהה"
"If empty, the Page Title will be used","אם ריק, יבוצע שימוש בכותרת הדך"
"Images (%s)","תמונות (%s)"
"Insert File","הכנס קובץ"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","שם תיקייה לא תקין. אנא, השתמש בתווים של אותיות ומספרים, קווים תחתונים ומקפים."
"Keywords","מילות מפתח"
"Last Modified","עודכן לאחרונה"
"Layout","סידור/פריסה/לייאאוט"
"Layout Update XML","עדכון פריסת  XML"
"Link to a CMS Page","קישור לדף  CMS "
"Manage Pages","ניהול דפים"
"Media Gallery","גלריית מדיה"
"Media Storage","אחסון מדיה"
"Meta Data","מידע מטה"
"Meta Description","מטה תיאור"
"Meta Keywords","מילות מפתח (מטה תגים)"
"New Block","בלוק חדש"
"New Folder Name:","שם תיקייה חדשה:"
"New Page","עמוד חדש"
"No files found","לא נמצאו קבצים"
"Page Information","מידע עמוד"
"Page Layout","פריסת עמוד"
"Page Status","סטטוס עמוד"
"Page Title","כותרת עמוד"
"Pages","דפים"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Redirect to CMS-page if Cookies are Disabled","הכוון לדף  CMS-אם העוגיות אל מופעלות"
"Relative to Website Base URL","יחסי ל URL בסיסי של אתר"
"Save Block","שמור בלוק"
"Save Page","שמור עמוד"
"Save Process","שמור התקדמות"
"Select Block...","בחר בלוק..."
"Select Page...","בחר עמוד..."
"Show Breadcrumbs for CMS Pages","הראה פירורי לכם לדפי  CMS"
"Show Notice if JavaScript is Disabled","כתוב הערה אם  JavaScript לא פעיל"
"Static Blocks","בלוקים סטטיים"
"Status","מצב"
"Storage Root","אחסן מקור"
"Store View","מבט חנות"
"Template","תבנית"
"The block has been deleted.","הבלוק נמחק בהצלחה"
"The block has been saved.","הבלוק נשמר בהצלחה"
"The directory %s is not writable by server.","הסיפרייה %s לא ניתן לכתביה על ידי השרת."
"The page URL key cannot consist only of numbers.","מפתח דף URL לא יכול להכיל מספרים בלבד."
"The page URL key contains capital letters or disallowed symbols.","מפתח דף URL מכיל אותיות או תווים לא חוקיים"
"The page has been deleted.","הדף נמחק בהצלחה"
"The page has been saved.","הדף נשמר בהצלחה"
"This block no longer exists.","הבלוק לא קיים"
"This page no longer exists.","הדף לא קיים"
"Title","כותרת"
"URL Key","מפתח URL"
"Unable to find a block to delete.","לא ניצן למצוא בלוק למחיקה"
"Unable to find a page to delete.","לא נמצא דף למחיקה"
"WYSIWYG Options","אפשרויות וויסוויג"
"px.","px."
